;meta[fps=30]
;meta[frames=55]
jaw_open_a;0;-0.011977144;-0.0005942867;0.043199997;0.115200005;0.18249142;0.18541715;0.12397714;0.052068572;-0.00068571453;-0.013257143;0;0;0;0;0;0;-0.00888889;0.0023923814;0.029851431;0.06778413;0.110450804;0.14972952;0.16869587;0.18462478;0.19623621;0.16158476;0.10404571;0.047588572;0.0038831742;-0.017342223;-0.0070628575;-0.007965715;-0.0018742869;0.014240002;0.04420572;0.06775184;0.08586123;0.08833633;0.07528816;0.054257955;0.039232653;0.019461226;0.009077551;0.0027102043;-0.0005289795;-0.01054302;0.009974858;0.034770284;0.047734857;0.044754285;0.027803427;-0.0031177145;-0.0049737142;-0.0011337146;0.0004388572;0;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.01089016;0.0044901576;0.038095243;0.080025405;0.118090175;0.1385905;0.12647112;0.11736889;0.11046096;0.085871756;0.05453207;0.019311747;0.0009549203;0.014913017;0.054877464;0.08537397;0.102171436;0.09528889;0.07859302;0.07214476;0.07396572;0.07702094;0.07344762;0.058590475;0.032213338;0.010613334;0.00000000053218435;-0.0026133333;-0.0011276193;-0.012373334;0.013699049;0.04612572;0.059916202;0.055116195;0.033234287;-0.0061409525;-0.006095239;0.00018285705;0.0003809525;-0.00009142858;0;0;0;0;0;0;0;0;0;0
jaw_chew;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.000021204827;0.00015585548;0.00083971117;0.0028425064;0.0070410613;0.014403377;0.025440486;0.040388826;0.057177745;0.06750343;0.06405658;0.04676724;0.02392434;0.0062310365;-0.00092559046;-0.0014981207;-0.00043893984;0.000047710855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_front;0;-0.0030630366;0.027767714;0.08907138;0.14204477;0.14857158;0.10713472;0.040449254;0.0041508437;-0.0015008472;0.0008097214;0.0052386518;0.016474556;0.035807673;0.061628796;0.084519766;0.08569142;0.0655997;0.03484665;0.009655316;-0.0011041657;0;0;0;0;0;0;0;-0.0015903618;0.013117304;0.057265744;0.11747684;0.16835251;0.1888014;0.17498115;0.15066768;0.1331403;0.124588944;0.12074663;0.11529646;0.09962662;0.07185254;0.039184928;0.01485716;0.0022042424;-0.00065840984;-0.0019275185;0.018569063;0.04859589;0.072930805;0.076046325;0.05922109;0.029127473;0.014990749;0.0067534707;0.0016269397;-0.00019561448;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0014472291;0.0115778325;0.055797838;0.11369495;0.15527497;0.15761279;0.11820363;0.06646917;0.029397836;0.0076575917;-0.0019322892;-0.00281494;-0.001455181;0.00014313255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jaw_left;0;-0.0015585545;0.012722894;0.056553263;0.1265928;0.18829884;0.19529644;0.14364146;0.07093013;0.017430363;-0.00206747;0;0;0;0;0;0;-0.0011379921;0.009991005;0.03497382;0.07095487;0.108938;0.14225431;0.16358636;0.17726877;0.17889272;0.15117095;0.10366331;0.051048838;0.025118876;0.035922732;0.07226603;0.0967576;0.10051086;0.08387567;0.06839616;0.060433745;0.050637115;0.03611181;0.018978313;0.005036144;-0.00058313255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;0.00007792773;-0.0016921449;0.005555134;0.036459044;0.0615629;0.06785279;0.049706757;0.01723316;-0.007161929;0.0047053504;0.034124922;0.073137015;0.10371994;0.11379302;0.09356151;0.06158331;0.030970702;0.009384723;-0.0010520243;0;0;0;0;0;0;0;-0.0010761447;0.008870155;0.03877337;0.07999961;0.114671245;0.12596582;0.10879081;0.076179914;0.06333421;0.09112596;0.15476198;0.21700895;0.23335396;0.1832118;0.10426359;0.03864845;0.005313931;-0.0018517114;-0.00083865074;0.009217736;0.019248145;0.023370894;0.018094074;0.008256627;-0.0018554222;-0.000541783;0.00047127725;0.00014101209;-0.000014843379;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;0.00007792773;-0.0016587473;0.0052990853;0.03501181;0.059169408;0.065236636;0.04761384;0.018247811;-0.00080631283;0.016135812;0.048202276;0.08622146;0.11311607;0.12048102;0.098635815;0.065293886;0.032990463;0.009987471;-0.0011196146;0;0;0;0;0;0;0;-0.0010081127;0.008309816;0.036320504;0.07490834;0.10735348;0.11802834;0.10218921;0.07216602;0.05823552;0.077885665;0.12768024;0.17740679;0.19047515;0.14966945;0.0853086;0.031761117;0.0044752806;-0.0014546509;-0.0012490699;0.013278884;0.025181785;0.029788425;0.022342991;0.009685304;-0.0031861302;-0.00011355157;0.00020038553;-0.00014694942;0.000011132533;0;0;0;0;0;0;0;0;0;0
corner_right_spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0011268597;0.009886925;0.03467289;0.0705852;0.10869557;0.14226882;0.16382387;0.1775342;0.1791175;0.15138884;0.10386529;0.0517992;0.019755602;0.017584762;0.042485915;0.0656388;0.0795475;0.07698007;0.061233092;0.052105814;0.052005623;0.056137186;0.0534612;0.039462045;0.017177498;0.00439735;-0.0007013495;-0.0011243857;-0.00030057837;-0.0012646557;0.012386056;0.03184572;0.045006603;0.041379623;0.025081594;0.004234815;-0.0012846938;-0.0007058025;0.00006456868;0;0;0;0;0;0;0;0;0;0;0
corner_left_spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0011726266;0.010288933;0.036081776;0.073390596;0.11299767;0.14793403;0.17042051;0.18473941;0.18639569;0.1574845;0.10800658;0.05375281;0.021143151;0.023753729;0.054148633;0.0796811;0.08960018;0.07903541;0.05618032;0.046773337;0.04911117;0.056625623;0.05542888;0.041162536;0.017912244;0.0045866026;-0.00072361453;-0.0011243857;-0.00030057837;-0.001244617;0.012192348;0.03137815;0.044372045;0.04081186;0.024747616;0.004188058;-0.0012780145;-0.0007058025;0.00006456868;0;0;0;0;0;0;0;0;0;0;0
