;meta[fps=30]
;meta[frames=33]
jaw_open_a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00448;0.000045713925;0.0137600005;0.037531428;0.06432;0.107729375;0.15705875;0.20682698;0.20228478;0.15048137;0.06938241;0.012432456;0.017749943;0.04296229;0.04572343;0.032685716;0.008713146;-0.008868573;0;0;0;0;0;0;0;0;0;0
jaw_open_o;0;0;-0.012068572;0.0053028576;0.04690286;0.089120016;0.11292572;0.09908572;0.0476;0.012777142;-0.0020914283;-0.013417144;0.0096;0.033965714;0.04379429;0.040731434;0.024777146;-0.011748572;-0.0007131433;0.029129144;0.05423543;0.07213714;0.06535314;0.03388343;0.0122879995;0.001444571;-0.0044891424;-0.009097143;-0.014948572;0.015497145;0.035337146;0.04457143;0.037028573;0.012708573;-0.0104228575;0;0;0;0;0;0;0;0;0;0
jaw_chew;0;0;0;0;0;0;0;0;0;0;0;0.000047710855;-0.00084925315;0.0017493976;0.016428435;0.028706025;0.032411568;0.022761256;0.022325497;0.036549695;0.065736;0.08234892;0.075240016;0.047682222;0.023206556;0.006326459;-0.0012881929;-0.0016651087;0.0015291332;0.018058557;0.03175157;0.03582846;0.026155088;0.010525013;-0.001094964;0;0;0;0;0;0;0;0;0;0
jaw_front;0;0;-0.0004866507;0.0037786996;0.020611087;0.03392242;0.0369282;0.026622655;0.010391423;-0.0010878075;0;-0.0017462171;0.016331423;0.045730844;0.07127525;0.072835386;0.0569429;0.026560634;0.02975058;0.05160597;0.0737438;0.08044698;0.077253796;0.065395266;0.07288882;0.073773384;0.06397882;0.04479076;0.037786424;0.0646796;0.09346556;0.09310773;0.06442396;0.024447039;-0.0025763859;0;0;0;0;0;0;0;0;0;0
jaw_back;0;0;0.0001749398;-0.0033874707;0.01288193;0.028387954;0.03745302;0.031012053;0.016555665;-0.0016380725;0;0.00015903616;-0.002910362;0.0068968674;0.047159523;0.1508564;0.29562175;0.36398074;0.31676558;0.1902258;0.0731288;0.036641933;0.059042178;0.05635844;0.035425305;0.011689159;-0.0045444593;0.0013836146;0.037373498;0.11506267;0.16643135;0.16492051;0.10612484;0.0360535;-0.0038963866;0;0;0;0;0;0;0;0;0;0
jaw_left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0006043375;0.0050414465;0.020611087;0.048108444;0.08366638;0.13225448;0.18584171;0.22742173;0.21707167;0.15807956;0.0756112;0.023317084;0.033684656;0.06393254;0.072437;0.053257234;0.021446029;-0.0022304824;0;0;0;0;0;0;0;0;0;0
corner_right_tight;0;0;-0.0019259279;0.016272979;0.06452415;0.14227931;0.22766247;0.29894525;0.32842863;0.3143827;0.2471756;0.15140244;0.09060712;0.09506958;0.13934442;0.1720941;0.16187629;0.108154394;0.074046165;0.06381352;0.06428294;0.058338176;0.044752777;0.019604389;0.006468001;0.0011800483;0.00067908445;0.0015919522;0.008059952;0.029612536;0.045699045;0.048114803;0.034354992;0.013392435;-0.001402699;0;0;0;0;0;0;0;0;0;0
corner_left_tight;0;0;-0.0016698799;0.014199546;0.055028107;0.1214281;0.19849193;0.26476833;0.29570898;0.2875366;0.22844513;0.14116608;0.08337599;0.08054165;0.11450849;0.14299366;0.13654977;0.09331473;0.06627566;0.059104465;0.06059808;0.055751715;0.043082897;0.019203618;0.006267615;0.0010798557;0.0005900242;0.0012802412;0.007347471;0.028554944;0.044585787;0.047290996;0.033920825;0.013303376;-0.0013915665;0;0;0;0;0;0;0;0;0;0
corner_right_spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.000848299;0.007327433;0.027646529;0.0527682;0.066361025;0.059481118;0.03572207;0.0136061795;0.0022309583;-0.0015362893;-0.0006234218;0.010164002;0.038796876;0.05922507;0.061106466;0.040956587;0.014850798;-0.0015808197;0;0;0;0;0;0;0;0;0;0
corner_left_spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00083493994;0.0072161076;0.027172286;0.051844206;0.06511418;0.058289938;0.034922753;0.013249937;0.0021240863;-0.0014138315;-0.00037850617;0.010253061;0.038240246;0.058111817;0.05981509;0.04006598;0.014539087;-0.0015474219;0;0;0;0;0;0;0;0;0;0
